Date,Price,Volume
2026-03-02,312.40,38000000
2026-03-03,308.75,42500000
2026-03-04,315.20,51000000
2026-03-05,319.85,47000000
2026-03-06,316.10,62000000
2026-03-09,321.45,59000000
2026-03-10,325.80,71000000
2026-03-11,322.30,54000000
2026-03-12,318.90,68000000
2026-03-13,326.75,75000000
2026-03-16,330.20,83000000
2026-03-17,327.40,64000000
2026-03-18,334.60,92000000
2026-03-19,331.15,78000000
2026-03-20,337.90,96000000
2026-03-23,342.25,88000000
2026-03-24,338.70,73000000
2026-03-25,345.80,105000000
2026-03-26,341.20,81000000
2026-03-27,348.50,112000000
